# Step PotentialEnergy(eV) KineticEnergy(eV) TotalEnergy(eV)
0 -2290.34745166693 62.380945977 -2227.96650568993
10 -2298.7674806179 70.8026893656967 -2227.9647912522
20 -2326.10516423885 98.1450734375822 -2227.96009080126
30 -2380.32121607283 152.365541950322 -2227.95567412251
40 -2472.98222909016 245.061226027599 -2227.92100306256
50 -2702.38383751682 475.191456209839 -2227.19238130698
60 -4619.52346943345 2385.65352800574 -2233.86994142771
70 -4609.75280722043 2391.72737616368 -2218.02543105675
80 -8233.93070554645 5983.22448511435 -2250.7062204321
90 -24975.9417975935 22418.3236483091 -2557.61814928443
100 -71813.0109278574 87039.4823168052 15226.4713889478
110 -103810.322978366 275004.229412345 171193.906433978
120 -60854.7471707453 929799.211111232 868944.463940486
130 -25178.482221628 927784.166557087 902605.684335459
140 -25519.990891348 925828.602599998 900308.61170865
150 -15501.2194382408 925130.940590483 909629.721152242
160 -12820.2645860587 903495.963135425 890675.698549366
170 -9045.69929119201 896160.729780579 887115.030489387
180 -8236.59570558993 895856.617132382 887620.021426792
190 -9673.07497808015 895386.696399579 885713.621421499
200 -15105.6418823721 906443.675081356 891338.033198984
210 -7865.36616557947 902614.924671866 894749.558506286
220 -6701.83917972385 900416.204452902 893714.365273178
230 -5543.01356504974 899679.037092244 894136.023527194
240 -6406.18328854079 896593.592640016 890187.409351475
250 -7362.72454880335 895394.721645945 888031.997097142
260 -7211.95815168818 898486.827034258 891274.86888257
270 -7535.8121676949 899079.562980993 891543.750813298
280 -5778.31648132 897070.008630894 891291.692149574
290 -5868.21510881749 899080.346128043 893212.131019226
300 -5259.43299430995 900157.431580076 894897.998585766
310 -5866.28459470596 901760.576329466 895894.29173476
320 -5155.19207696705 899681.67919622 894526.487119253
330 -6375.66348159922 902008.264805387 895632.601323788
340 -4446.46250850489 896958.561142351 892512.098633846
350 -5016.0761435706 896942.300939563 891926.224795992
360 -5582.72051508038 896195.841347524 890613.120832443
370 -7078.62181866035 898140.24053764 891061.61871898
380 -5632.65507187971 895434.696980578 889802.041908698
390 -4941.98061506783 897256.588289787 892314.607674719
400 -7142.59711792335 897630.742736109 890488.145618186
410 -4580.2698380397 899791.912379711 895211.642541671
420 -7514.51710562335 902944.918041901 895430.400936278
430 -6790.55977525861 902912.057465518 896121.49769026
440 -4930.93081028746 902452.376438352 897521.445628065
450 -5034.2408813743 902926.002781455 897891.761900081
460 -6625.68767445456 903725.698610722 897100.010936267
470 -5412.0254762251 901038.815260031 895626.789783806
480 -5856.15380208325 899785.262963503 893929.10916142
490 -6264.70665389222 902050.173585734 895785.466931841
500 -6608.83566934971 903056.81062027 896447.97495092
510 -5590.43985128169 902080.579555798 896490.139704516
520 -5148.12128441897 901176.835365234 896028.714080815
530 -5700.98729750546 898512.518324685 892811.531027179
540 -5144.86468938966 898422.827247023 893277.962557633
550 -6098.95743556857 902108.547009584 896009.589574015
560 -6364.85903251791 901599.923670462 895235.064637944
570 -5299.80451476793 901067.264400962 895767.459886194
580 -5503.01519470012 901980.879513303 896477.864318603
590 -4952.64516495799 902381.936410249 897429.291245291
600 -4896.57130553188 903555.606678062 898659.03537253
610 -4776.92390519602 906725.01791546 901948.094010264
620 -6589.75525898447 909182.357304552 902592.602045567
630 -7678.9231254442 909015.102567579 901336.179442135
640 -6195.35063742602 910111.026203881 903915.675566455
650 -5294.41356227567 913957.656121213 908663.242558938
660 -6262.30257829239 912974.323837034 906712.021258742
670 -6725.96070397339 911885.585465241 905159.624761268
680 -6162.64560011194 911519.876571807 905357.230971695
690 -5052.92475896514 907961.464620612 902908.539861646
700 -5852.33604478259 909545.296362963 903692.960318181
710 -5549.51757477496 910231.75364971 904682.236074935
720 -5450.71929296979 910783.135498046 905332.416205076
730 -6098.84196390561 909650.317386115 903551.47542221
740 -5460.05747882758 911321.692858081 905861.635379253
750 -5398.58735831851 910689.595703383 905291.008345064
760 -7429.47182648319 910009.689753698 902580.217927215
770 -6035.10550388495 907955.289077661 901920.183573776
780 -4845.79000849212 906296.073325882 901450.28331739
790 -5288.65663675935 907428.094232441 902139.437595682
800 -7396.05841886988 909536.831393827 902140.772974957
810 -6836.27335253651 909928.253542729 903091.980190192
820 -6402.39347922638 912201.134284444 905798.740805218
830 -6303.85786892906 913159.186578992 906855.328710063
840 -5592.95507337249 910496.064438256 904903.109364883
850 -5976.86291542315 906267.372616515 900290.509701092
860 -7486.61140363645 909943.108683116 902456.497279479
870 -4600.22827266367 910482.391118403 905882.162845739
880 -7426.55399321683 909986.686077636 902560.132084419
890 -5832.0066282929 911941.659877568 906109.653249276
900 -6134.59818704303 911965.171437711 905830.573250668
910 -5368.24048064426 911245.872411029 905877.631930385
920 -5323.74574643582 914061.779250063 908738.033503627
930 -6409.92033715708 917253.223093518 910843.302756361
940 -6631.36404577276 920839.316558687 914207.952512915
950 -6258.71549518469 919970.390397678 913711.674902494
960 -6544.38873964794 920138.323829394 913593.935089746
970 -5076.54996715439 917711.049803915 912634.49983676
980 -6055.68686197888 915778.915199181 909723.228337202
990 -4740.15128430435 916415.575270446 911675.423986141
1000 -5867.14462396098 918181.406769904 912314.262145943
1010 -4885.74430290911 918021.944201139 913136.19989823
1020 -4856.27772972285 917892.729003028 913036.451273305
1030 -4910.27455481836 917565.923860452 912655.649305633
1040 -5052.90008082098 919138.378808526 914085.478727705
1050 -5343.97163370426 918851.371181102 913507.399547398
1060 -5705.13953844426 917427.221888828 911722.082350383
1070 -5565.95068828233 917468.081223504 911902.130535221
