# Free energy of bcc W (SNAP), DDOS Hessian sampling
# T[K]  F_vib[eV/atom]  F_total[eV/atom]  F_harmonic[eV/atom]
1.000000000000000000e+02 4.948993435661015738e-02 -4.170850451232705147e+00 -4.197302156679904250e+00
2.000000000000000000e+02 2.097423928593274145e-02 -4.199366146303382230e+00 -4.210102409298102089e+00
3.000000000000000000e+02 -1.436302572953739726e-02 -4.234703411318852417e+00 -4.236429672817153325e+00
4.000000000000000000e+02 -5.421758625129344950e-02 -4.274557971840608595e+00 -4.271541396062104923e+00
5.000000000000000000e+02 -9.838306611646904787e-02 -4.318723451705784200e+00 -4.313185183884899132e+00
6.000000000000000000e+02 -1.462815314355587482e-01 -4.366621917024874122e+00 -4.360034404627815441e+00
7.000000000000000000e+02 -1.977362126779402540e-01 -4.418076598267255406e+00 -4.411212464528044386e+00
8.000000000000000000e+02 -2.528079848072910529e-01 -4.473148370396605955e+00 -4.466096332645327571e+00
9.000000000000000000e+02 -3.114961603057422312e-01 -4.531836545895057355e+00 -4.524220169141039527e+00
1.000000000000000000e+03 -3.735593988263530285e-01 -4.593899784415668819e+00 -4.585222389818524036e+00
1.100000000000000000e+03 -4.385553169211536262e-01 -4.658895702510468695e+00 -4.648814136468857328e+00
1.200000000000000000e+03 -5.061754962488683729e-01 -4.726515881838183830e+00 -4.714759312831964699e+00
1.300000000000000000e+03 -5.760192161042214654e-01 -4.796359601693536590e+00 -4.782861322904052415e+00
1.400000000000000000e+03 -6.479264041486280101e-01 -4.868266789737943689e+00 -4.852953914160031523e+00
1.500000000000000000e+03 -7.217424499859117493e-01 -4.942082835575226873e+00 -4.924894650256419482e+00
1.600000000000000000e+03 -7.973230626706514501e-01 -5.017663448259966685e+00 -4.998560131922205052e+00
1.700000000000000000e+03 -8.745309323571912596e-01 -5.094871317946506828e+00 -5.073842417142280681e+00
1.800000000000000000e+03 -9.532359031570253327e-01 -5.173576288746340346e+00 -5.150646286441237898e+00
1.900000000000000000e+03 -1.033315149712276559e+00 -5.253655535301591684e+00 -5.228887117661592754e+00
2.000000000000000000e+03 -1.114723921423161679e+00 -5.335064307012476803e+00 -5.308489209323815849e+00
2.100000000000000000e+03 -1.197631579491614140e+00 -5.417971965080929486e+00 -5.389384440097995110e+00
2.200000000000000000e+03 -1.281673510334413901e+00 -5.502013895923729692e+00 -5.471511184152089591e+00
2.300000000000000000e+03 -1.366777928604888004e+00 -5.587118314194203350e+00 -5.554813424085981666e+00
2.400000000000000000e+03 -1.453345502467793704e+00 -5.673685888057109494e+00 -5.639240018405913268e+00
2.500000000000000000e+03 -1.540863072416205792e+00 -5.761203458005521583e+00 -5.724744091280426161e+00
2.600000000000000000e+03 -1.629423881434678423e+00 -5.849764267023993547e+00 -5.811282520077694969e+00
2.700000000000000000e+03 -1.719250284116153438e+00 -5.939590669705468784e+00 -5.898815501849121290e+00
2.800000000000000000e+03 -1.809916072731609482e+00 -6.030256458320924828e+00 -5.987306184117262120e+00
2.900000000000000000e+03 -1.901753140595913161e+00 -6.122093526185228285e+00 -6.076720348468994004e+00
3.000000000000000000e+03 -1.994596934459873516e+00 -6.214937320049188862e+00 -6.167026137837646083e+00
