# T[K]  F_bcc[eV/at]  F_a15[eV/at]  dF=a15-bcc[eV/at]
3.000000000000000000e+02 -4.270047734983046794e+00 -4.118357069369489309e+00 1.516906656135574849e-01
5.076923076923076792e+02 -4.359235993362410966e+00 -4.215090838569079068e+00 1.441451547933318977e-01
7.153846153846153584e+02 -4.466405961049259687e+00 -4.331146798078085780e+00 1.352591629711739074e-01
9.230769230769230944e+02 -4.590719766239267585e+00 -4.462440510880758993e+00 1.282792553585085926e-01
1.130769230769230717e+03 -4.727709753324994324e+00 -4.606395555886658499e+00 1.213141974383358246e-01
1.338461538461538339e+03 -4.875427327840769820e+00 -4.762952451299154788e+00 1.124748765416150320e-01
1.546153846153846189e+03 -5.032336712518304722e+00 -4.931955049563987004e+00 1.003816629543177186e-01
1.753846153846153811e+03 -5.197136053187357163e+00 -5.110470145224967453e+00 8.666590796238970995e-02
1.961538461538461434e+03 -5.368893644982954072e+00 -5.296137219865251211e+00 7.275642511770286092e-02
2.169230769230769056e+03 -5.546817992008545417e+00 -5.487040498377394826e+00 5.977749363115059111e-02
2.376923076923076678e+03 -5.730480249643203905e+00 -5.683488849218091943e+00 4.699140042511196214e-02
2.584615384615384301e+03 -5.919755867268561289e+00 -5.883252965064743378e+00 3.650290220381791073e-02
2.792307692307692378e+03 -6.113869790984049146e+00 -6.085784165268377066e+00 2.808562571567208010e-02
3.000000000000000000e+03 -6.311837498864450779e+00 -6.291442559713130933e+00 2.039493915131984636e-02
